player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2
Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133.0
Benzema,Real Madrid,Forward,1106,12,15,1,121.5
Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5
Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4
Alaba,Real Madrid,Defender,1040,12,1,0,112.3
Carvajal,Real Madrid,Defender,959,11,0,1,112.8
Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6
Kroos,Real Madrid,Midfielder,902,12,2,0,116.5
Mendy,Real Madrid,Defender,867,10,0,2,96.3
Valverde,Real Madrid,Midfielder,804,11,0,1,96.7
Nacho,Real Madrid,Defender,574,9,0,0,61.9
Rodrygo,Real Madrid,Forward,505,11,5,2,65.7
Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4
Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2
Asensio,Real Madrid,Forward,207,8,1,2,28.4
Jović,Real Madrid,Forward,113,3,0,0,12.9
Marcelo,Real Madrid,Defender,93,3,0,0,10.7
E. Hazard,Real Madrid,Forward,84,3,0,0,10.8
Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7
Ceballos,Real Madrid,Midfielder,37,5,0,0,7.8
Mariano Díaz,Real Madrid,Forward,12,1,0,0,1.6
Vallejo,Real Madrid,Defender,8,2,0,0,1.5
Bale,Real Madrid,Forward,7,2,0,0,2.2
Blanco,Real Madrid,Midfielder,6,1,0,0,1.3
Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8
Salah,Liverpool,Forward,1008,13,8,2,112.0
Fabinho,Liverpool,Midfielder,849,13,1,0,105.5
Robertson,Liverpool,Defender,826,10,0,2,97.7
Mané,Liverpool,Midfielder,822,13,5,1,100.3
Van Dijk,Liverpool,Defender,810,9,0,1,82.8
Alexander-Arnold,Liverpool,Defender,794,9,0,4,86.8
Konaté,Liverpool,Defender,720,8,2,0,78.5
Henderson,Liverpool,Midfielder,666,12,1,2,85.7
Matip,Liverpool,Defender,630,7,0,0,66.2
Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9
Diogo Jota,Liverpool,Forward,578,11,1,1,73.9
Keïta,Liverpool,Midfielder,487,10,1,2,61.5
